FIPS,State,County,"Farms with direct sales (% change), 2007 - 12","Farms with direct sales (%), 2007","Farms with direct sales (%), 2012","Direct farm sales (%), 2007","Direct farm sales (%), 2012","Direct farm sales (% change), 2007 - 12","Direct farm sales per capita, 2007","Direct farm sales per capita, 2012","Direct farm sales per capita (% change), 2007 - 12","Farmers' markets (% change), 2013-18","Farmers' markets/1,000 pop, 2013","Farmers' markets/1,000 pop, 2018","Farmers' markets/1,000 pop (% change), 2013-18","Farms with vegetables harvested for fresh market, 2007","Farms with vegetables harvested for fresh market, 2012","Farms with vegetables harvested for fresh market (% change), 2007 - 12","Vegetable acres harvested for fresh market, 2007","Vegetable acres harvested for fresh market, 2012","Vegetable acres harvested for fresh market (% change), 2007 - 12","Vegetable acres harvested for fresh market/1,000 pop, 2007","Vegetable acres harvested for fresh market/1,000 pop, 2012","Vegetable acres harvested for fresh market/1,000 pop (% change), 2007 - 12","CSA farms (% change), 2007 - 12","Agritourism operations (% change), 2007 - 12","Agritourism receipts (% change), 2007 - 12","Farm to school program, 2013","Farm to school program, 2015"
01023,AL,Choctaw,75,3.03030303,5.64516129,,,,,1.919810972,,0,0.074649148,0.077875555,4.322094917,18,14,-22.22222222,52,59,13.46153846,3.65785031,4.35649413,19.09984721,-100,,,0,0
01025,AL,Clarke,-5.263157895,5.919003115,6.844106464,,1.619121049,20,1.323952186,1.670378619,26.16608336,0,0.079611495,0.08361204,5.025084019,14,16,14.28571429,46,,,1.740051445,,,,25,-26.08695652,0,0
01027,AL,Clay,-45,4.62962963,2.743142145,0.090431739,0.06714298,25.80645161,2.200922968,2.898335315,31.68726746,0,0.149209186,0.150659129,0.971751571,2,8,300,,,,,,,100,900,,0,0
01029,AL,Cleburne,-26.31578947,5,4.105571848,0.037523452,0.010678057,-64,1.689303331,0.603176731,-64.29435024,0,0.066773504,0.066724494,-0.073397256,6,8,33.33333333,17,,,1.148726265,,,,100,,0,0
01031,AL,Coffee,8.823529412,3.501544799,4.115684093,0.048330069,0.039896656,8.421052632,2.001769986,2.012780177,0.550022781,100,0.019732818,0.038528964,95.25322723,18,16,-11.11111111,126,,,2.654979139,,,-44.44444444,225,450,1,1
01033,AL,Colbert,-29.72972973,5.027173913,3.784570597,0.160267741,0.107456271,5.882352941,1.248027016,1.321779997,5.909566059,-33.33333206,0.055012561,0.036521677,-33.61211395,30,11,-63.33333333,,58,,,1.06476722,,-85.71428571,-70,-94.11764706,1,1
01035,AL,Conecuh,62.5,1.995012469,3.757225434,0.1514769,0.115761896,58.33333333,0.892790715,1.461988304,63.75487329,0,0.077453338,0.081453122,5.164121628,11,12,9.090909091,62,,,4.612752027,,,-33.33333333,0,115.3846154,1,
01037,AL,Coosa,157.1428571,3.381642512,11.84210526,,1.338432122,133.3333333,1.049042748,2.50111657,138.418937,0,0,0,0,6,7,16.66666667,12,,,1.049042748,,,,-57.14285714,52.63157895,0,0
01039,AL,Covington,-7.5,3.649635036,3.520456708,0.146014391,0.055907877,-46.4,3.321729425,1.771643133,-46.66503781,0,0.052893262,0.054074515,2.233275652,16,20,25,38,55,44.73684211,1.009805745,1.454333915,44.02115673,-20,-37.5,-91.50326797,1,0
01041,AL,Crenshaw,-12.5,2.507836991,2.434782609,0.013395608,0.003476423,-66.66666667,1.074806535,0.358397248,-66.65472009,0,0.072181322,0.072337963,0.217010438,12,11,-8.333333333,,,,,,,0,-81.81818182,,0,0
01043,AL,Cullman,-1.333333333,3.042596349,3.687095167,0.062334923,0.0644937,6.324110672,3.179350558,3.34685346,5.268462822,0,0.012393417,0.011984373,-3.300496817,68,62,-8.823529412,,911,,,11.33451116,,160,0,285.1851852,1,1
01045,AL,Dale,-4.166666667,4.545454545,4.722792608,0.023601605,0.03473134,127.7777778,0.363724539,0.81472061,123.9938532,0,0.040183235,0.040853012,1.666808009,11,11,0,58,,,1.172001293,,,-100,-9.090909091,,1,1
01047,AL,Dallas,-9.090909091,3.963963964,3.95256917,0.100116044,0.195064998,211.3636364,0.995610264,3.202655633,221.6776433,0,0.023819165,0.026102845,9.587571144,25,26,4,399,,,9.028374893,,,-71.42857143,113.6363636,77.43190661,1,1
01049,AL,DeKalb,-2.564102564,3.215169002,3.734643735,0.063963157,0.036386949,-36.60377358,3.815694744,2.368131713,-37.93707642,-33.33333206,0.042306554,0.028017091,-33.77600479,45,34,-24.44444444,,,,,,,-81.81818182,42.85714286,,0,0
01051,AL,Elmore,37.93103448,4.632587859,7.246376812,0.675043443,0.490788281,28.71287129,1.309579379,1.61627213,23.41917999,100,0.012411722,0.024423901,96.78092194,19,26,36.84210526,,103,,,1.280584842,,0,75,,1,
01053,AL,Escambia,35.29411765,3.386454183,5.066079295,0.12355673,0.122381046,72.4137931,0.766405032,1.314613241,71.52982903,-33.33333206,0.079442844,0.054424729,-31.49196815,14,15,7.142857143,,,,,,,200,-66.66666667,,0,0
01055,AL,Etowah,-8.163265306,4.880478088,5.275498242,0.083135571,0.166007811,152.7272727,0.529390816,1.333525207,151.8980625,0,0.028878642,0.029268008,1.34828186,28,28,0,513,223,-56.53021442,4.937772516,2.139396556,-56.67284086,,400,,0,0
01057,AL,Fayette,47.05882353,4.239401496,6.038647343,0.138910326,0.140383715,183.3333333,1.027221366,3.007075472,192.7387972,0,0.059456568,0.060853161,2.348929167,17,22,29.41176471,,92,,,5.424528302,,,0,,0,0
01059,AL,Franklin,-22.58064516,3.235908142,2.909090909,0.043461645,0.036181086,-17.24137931,1.870726358,1.516683519,-18.92542101,0,0.063387424,0.063769408,0.602617681,32,21,-34.375,,46,,,1.453488372,,25,-85.71428571,,1,1
01061,AL,Geneva,-2.222222222,4.061371841,4.326450344,0.356081723,0.107573873,-58.70967742,17.66583086,7.109531215,-59.75546653,0,0,0,0,38,37,-2.631578947,,488,,,18.07005851,,-50,100,-68.83116883,1,
01063,AL,Greene,15,6.329113924,7.565789474,0.729958723,0.607359771,-19.04761905,17.9009057,15.39332201,-14.00813863,0,0.228597552,0.242924809,6.267458916,26,17,-34.61538462,,62,,,7.01754386,,-85.71428571,66.66666667,,,0
01065,AL,Hale,25,3.340292276,4.385964912,0.072626664,0.067507441,4.761904762,2.558167865,2.85695734,11.67982289,0,0.065586671,0.067907102,3.537961483,18,17,-5.555555556,46,109,136.9565217,2.801802899,7.077462502,152.6038682,,44.44444444,-71.81208054,0,
01067,AL,Henry,27.27272727,2.30125523,2.81124498,0.13885733,0.027991789,-61.81818182,3.214870236,1.217461882,-62.13029477,0,0.116740599,0.116218261,-0.447434604,9,8,-11.11111111,140,17,-87.85714286,8.183306056,0.985564381,-87.95640327,-100,-50,222.2222222,,1
01069,AL,Houston,17.64705882,4.042806183,4.901960784,0.273032638,0.152435607,-10.52631579,1.555353178,1.315853128,-15.39843513,0,0.028946912,0.028647276,-1.035123467,37,24,-35.13513514,,,,,,,-11.11111111,75,33.74485597,1,1
01071,AL,Jackson,-10.12658228,5.187130663,5.159883721,0.197652252,0.141627349,-15.73604061,3.693773086,3.128297904,-15.30887709,0,0.018882887,0.0193289,2.361991644,44,24,-45.45454545,,,,,,,-42.85714286,27.27272727,12.19512195,0,1
01073,AL,Jefferson,40.47619048,8.936170213,14.97461929,,0.589201198,3.389830508,0.090053926,0.092746889,2.990390093,6.25,0.024271991,0.025784923,6.233240604,21,14,-33.33333333,42,,,0.064106184,,,-100,,,1,1
01075,AL,Lamar,-26.31578947,4.502369668,3.966005666,,0.438130643,-51.47058824,4.563452117,2.315464496,-49.26068168,0,0.070372976,0.072233461,2.643748522,18,22,22.22222222,,,,,,,,25,160,0,0
01077,AL,Lauderdale,-10.16949153,3.47672363,3.615279673,0.409198061,0.230666169,-9.239130435,2.019603324,1.801899007,-10.77955823,0,0.010786789,0.010824034,0.345287681,28,33,17.85714286,,93,,,1.003452741,,-54.54545455,-12.5,,0,1
01079,AL,Lawrence,-10.86956522,2.873204247,2.643455835,0.069639804,0.042695213,-18.81188119,2.945207477,2.427759356,-17.56915684,0,0.029782292,0.030342568,1.881239414,23,16,-30.43478261,,76,,,2.250118427,,-50,533.3333333,109.0909091,0,0
01081,AL,Lee,-48.38709677,8.707865169,5.079365079,,,0.862068966,1.758454985,1.582160799,-10.02551602,0,0.026345082,0.024399022,-7.386805534,11,9,-18.18181818,,18,,,0.121704677,,50,-46.66666667,60.90225564,1,1
01083,AL,Limestone,40,3.698224852,5.691056911,0.416725526,0.450528505,102.7118644,3.878363988,6.84829537,76.57691211,0,0.011247328,0.010397821,-7.552973747,26,10,-61.53846154,193,75,-61.13989637,2.537370338,0.858899921,-66.14999757,-62.5,-77.77777778,,1,1
01085,AL,Lowndes,-15.78947368,4.691358025,3.628117914,0.027694118,0.036689554,75,1.336340099,2.580169554,93.07731294,0,0.093764648,0.100260675,6.928013325,19,13,-31.57894737,30,,,2.505637685,,,-100,100,93.39622642,1,1
01087,AL,Macon,3.03030303,8.571428571,9.659090909,0.580357143,0.29572189,-42.30769231,3.55482636,2.197372919,-38.18620951,0,0.049935084,0.054232877,8.606760025,22,18,-18.18181818,,,,,,,33.33333333,133.3333333,,0,0
01089,AL,Madison,11.26760563,5.98146588,7.647628267,0.754908237,0.499979785,31.09540636,0.895969404,1.082592152,20.82914291,16.66666603,0.017309373,0.0190986,10.33675289,24,32,33.33333333,156,89,-42.94871795,0.493891262,0.259705395,-47.41648313,-33.33333333,250,,1,1
01091,AL,Marengo,-16.66666667,3.243243243,3.006012024,0.363416111,0.154297176,-50,2.793946449,1.467064404,-47.49131987,50,0.099433228,0.157348156,58.24504471,25,15,-40,,63,,,3.080835249,,-83.33333333,114.2857143,496.4285714,0,0
01093,AL,Marion,-37.5,4.066073698,2.797202797,0.062645045,0.021986149,-50,1.426302311,0.720956906,-49.45272817,0,0.066163823,0.067197524,1.56233561,23,15,-34.7826087,55,33,-40,1.782877889,1.08143536,-39.3432738,0,0,60,0,0
01095,AL,Marshall,-17.46031746,3.639514731,3.455149502,0.059616273,0.056919856,2.816901408,1.584732995,1.549433289,-2.227485984,-25,0.042386353,0.031214558,-26.35705757,43,24,-44.18604651,198,54,-72.72727273,2.20969812,0.573078066,-74.06532318,0,9.090909091,-28.8,1,1
01097,AL,Mobile,30.88235294,7.762557078,12.75071633,0.43283277,0.676824947,59.16666667,0.887322381,1.38489426,56.07565962,-16.66666603,0.014485406,0.012084387,-16.57543182,38,47,23.68421053,328,,,0.808449281,,,-66.66666667,-44.44444444,,1,1
01099,AL,Monroe,-53.33333333,5.940594059,2.916666667,0.322111388,0.065200773,-53.22580645,2.645389768,1.284038078,-51.46128961,0,0.090207927,0.094935209,5.240427971,26,6,-76.92307692,,30,,,1.328315253,,-50,-42.85714286,,0,0
01101,AL,Montgomery,40,3.225806452,4.64344942,0.096026888,0.10718252,107.5,0.175524819,0.361993318,106.2348334,-25,0.017530559,0.013288272,-24.19938278,6,18,200,,74,,,0.322741031,,200,35.29411765,82.17054264,1,0
01103,AL,Morgan,-33.82352941,4.667124228,3.637833468,0.39029024,0.186693511,-46.03174603,3.247506379,1.698414813,-47.7009553,50,0.016726045,0.025191244,50.61088181,46,30,-34.7826087,214,,,1.838535357,,,-83.33333333,-14.28571429,64.02877698,1,1
01105,AL,Perry,0,3.846153846,3.856041131,0.23364486,0.06074309,-56.09756098,3.805457583,1.768172888,-53.5358666,-50,0.199900046,0.109409191,-45.26805115,25,20,-20,111,80,-27.92792793,10.30258029,7.858546169,-23.72254376,,73.33333333,-66.66666667,0,0
01107,AL,Pickens,-9.523809524,4.174950298,4.387990762,0.016390308,0.036174542,122.2222222,0.900495272,2.066649445,129.5014208,0,0.103600107,0.100310966,-3.174843073,20,14,-30,,,,,,,0,360,-3.333333333,0,
01109,AL,Pike,-62.5,4.513399154,2,0.153307842,0.02300737,-82.35294118,5.352476307,0.906207522,-83.06937818,0,0.029662149,0.029995801,1.124840617,19,7,-63.15789474,,8,,,0.241655339,,-50,-14.28571429,84.90566038,0,1
01111,AL,Randolph,-34.48275862,4.754098361,3.109656301,0.197478151,0.041250796,-68.91891892,6.530756332,2.032879618,-68.87221763,,0,0.088008799,,21,21,0,112,,,4.942193981,,,-100,350,,0,1
01113,AL,Russell,150,1.98019802,5.357142857,,0.083171611,,,0.415433349,,0,0.016911032,0.017306726,2.339861631,5,13,160,,72,,,1.246300047,,,44.44444444,67.5862069,0,1
01115,AL,St. Clair,-16.66666667,5.797101449,5.555555556,0.440086998,0.302399136,-24.32432432,3.264102435,2.301550023,-29.48903812,0,0.011654332,0.011275228,-3.252903461,27,28,3.703703704,,487,,,5.718647252,,0,0,-72.60273973,0,0
01117,AL,Shelby,83.33333333,3.797468354,8.229426434,0.522326915,1.364121949,225.4901961,0.277942787,0.826569736,197.3884458,0,0.039194938,0.037087344,-5.37721014,17,10,-41.17647059,51,,,0.277942787,,,200,1000,,1,1
01119,AL,Sumter,6.666666667,3.480278422,3.738317757,0.167991936,0.118137368,20,2.15424386,2.676380938,24.23760315,0,0.074649148,0.078795999,5.555122375,31,19,-38.70967742,106,67,-36.79245283,7.61166164,4.981042302,-34.56038199,-80,100,347.628866,,0
01121,AL,Talladega,-18.42105263,6.08,5.973025048,0.317080045,0.120381289,-45.55555556,1.094544305,0.598064225,-45.35952339,0,0.012267982,0.012526933,2.110790968,11,6,-45.45454545,11,15,36.36363636,0.133777637,0.183080885,36.85462601,75,160,-22.22222222,1,1
01123,AL,Tallapoosa,-14.28571429,5.570291777,5.217391304,0.84643289,0.671775949,26.78571429,1.352199739,1.724849987,27.55881669,-66.66666412,0.073120795,0.024693187,-66.229599,10,10,0,,19,,,0.461579574,,600,33.33333333,,0,1
01125,AL,Tuscaloosa,-3.703703704,8.8091354,10.46277666,1.091023672,0.563706006,-43.68231047,1.502576621,0.785723999,-47.70822409,-33.33333206,0.014919139,0.009573455,-35.83104706,45,32,-28.88888889,105,125,19.04761905,0.569568755,0.629586538,10.53740787,-25,300,25.58139535,0,0
01127,AL,Walker,-32.14285714,4.451510334,3.941908714,0.262547087,1.519407944,264.4927536,2.038555285,7.600024175,272.8142294,0,0.015204963,0.015695877,3.228643656,21,11,-47.61904762,456,,,6.736095723,,,-66.66666667,-83.33333333,,1,0
01129,AL,Washington,-34.375,6.765327696,5.660377358,0.406107862,0.06317718,-84,7.146532502,1.168565586,-83.64849547,0,0.059182104,0.061057515,3.168883085,36,16,-55.55555556,95,46,-51.57894737,5.431364702,2.687700847,-50.51518366,-100,50,-77.04918033,0,
01131,AL,Wilcox,15.38461538,3.532608696,4.746835443,0.118249901,,277.7777778,0.737221494,2.991641003,305.7994818,0,0.269010037,0.282299817,4.940254211,22,22,0,53,72,35.8490566,4.341415465,6.335239771,45.92567382,-100,28.57142857,72.43243243,0,0
01133,AL,Winston,-10.52631579,3.03514377,3.269230769,0.065668907,0.100680461,34.88372093,1.729825408,2.399073461,38.68876302,0,0.041346233,0.042265426,2.223160267,14,9,-35.71428571,31,24,-22.58064516,1.247083434,0.992720053,-20.39666104,50,-42.85714286,,0,0
02013,AK,Aleutians East,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,1
02016,AK,Aleutians West,,,,,,,,,,,0,0.174733534,,,,,,,,,,,,,,1,1
02020,AK,Anchorage,45.16129032,22.30215827,30.92783505,2.632905014,3.151337486,13.15789474,2.998651324,3.167979961,5.646826459,42.8571434,0.023243845,0.034300845,47.56958771,47,64,36.17021277,,,,,,,183.3333333,90,,1,
02050,AK,Bethel,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,1
02060,AK,Bristol Bay,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,1
02068,AK,Denali,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,
02070,AK,Dillingham,,,,,,,,,,0,0.200843543,0.200000003,-0.419998497,,,,,,,,,,,,,1,1
02090,AK,Fairbanks North Star,63.15789474,17.9245283,28.57142857,7.971731449,7.975929978,29.25531915,6.029183815,7.263126432,20.46616349,0,0.02972416,0.03031191,1.977348447,36,45,25,340,,,3.634614357,,,45.45454545,0,251.7241379,1,1
02100,AK,Haines,,,,,,,,,,0,0.390930414,0.404203713,3.395309925,,,,,,,,,,,,,1,
02105,AK,Hoonah-Angoon,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,1
02110,AK,Juneau,63.63636364,29.72972973,34.61538462,0.314358539,0.700934579,135.1351351,1.20591878,2.681626237,122.3720438,,0,0.062280074,,1,12,1100,,,,,,,200,25,,1,1
02122,AK,Kenai Peninsula,107.4074074,21.77419355,34.56790123,,,101.2903226,2.909596035,5.477431927,88.25403459,20,0.087696217,0.10250628,16.88791466,7,32,357.1428571,,35,,,0.614455505,,100,60,,1,
02130,AK,Ketchikan Gateway,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,1
02150,AK,Kodiak Island,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,
02164,AK,Lake and Peninsula,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,
02170,AK,Matanuska-Susitna,,,,,,,,,,0,0.073010214,0.065049715,-10.90326691,,,,,,,,,,,,,1,1
02180,AK,Nome,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,1
02185,AK,North Slope,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,1
02188,AK,Northwest Arctic,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,1
02195,AK,Petersburg,,,,,,,,,,,0,0.310462594,,,,,,,,,,,,,,1,1
02198,AK,Prince of Wales-Hyder,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,1
02220,AK,Sitka,,,,,,,,,,0,0.111445449,0.115647048,3.770094156,,,,,,,,,,,,,1,1
02230,AK,Skagway,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,
02240,AK,Southeast Fairbanks,,,,,,,,,,0,0.143184423,0.144550443,0.954027832,,,,,,,,,,,,,1,1
02261,AK,Valdez-Cordova,,,,,,,,,,0,0.306873977,0.327367961,6.678306103,,,,,,,,,,,,,1,1
02270,AK,Wade Hampton,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
02275,AK,Wrangell,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1,1
02282,AK,Yakutat,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,
02290,AK,Yukon-Koyukuk,,,,,,,,,,-50,0.359453619,0.187722921,-47.77548218,,,,,,,,,,,,,1,1
04001,AZ,Apache,-5.109489051,3.228847514,2.325165444,0.966566313,0.520790279,3.278688525,1.752823195,1.72730513,-1.45582652,0,0.01382342,0.013924086,0.728225946,1100,627,-43,3898,2201,-43.53514623,56.00413781,30.17300469,-46.12361538,100,94.11764706,140.8602151,1,1
04003,AZ,Cochise,31.1827957,8.732394366,11.16193962,1.113292922,0.765343538,-11.96319018,10.17113084,8.70435521,-14.42096901,0,0.023146719,0.023664905,2.23870182,32,18,-43.75,,,,,,,-14.28571429,153.3333333,-56.05875153,1,1
04005,AZ,Coconino,74.24242424,4.132748904,5.136221527,,4.017511235,536.196319,1.249597522,7.626233655,510.2951966,200,0.007314594,0.021000462,187.1036072,339,283,-16.51917404,785,,,6.018000337,,,,14.28571429,,1,1
04007,AZ,Gila,0,6.093189964,8.717948718,0.70550751,0.986140725,19.35483871,0.58213776,0.697705116,19.85223494,100,0.018860096,0.037113324,96.78226471,8,2,-75,17,,,0.319236836,,,300,300,,0,0
04009,AZ,Graham,19.04761905,6.12244898,6.067961165,,0.073148609,-76.63551402,15.20966596,3.383316191,-77.75548654,0,0.026699418,0.026266022,-1.623243451,8,2,-75,23,,,0.65387349,,,-66.66666667,0,,1,1
04011,AZ,Greenlee,180,3.937007874,8.805031447,,,,,,,0,0,0,0,1,0,-100,,0,,,0,,,700,,0,0
04012,AZ,La Paz,16.66666667,6.060606061,5.6,,,,,,,0,0,0,0,7,3,-57.14285714,,,,,,,-100,,,1,0
04013,AZ,Maricopa,68.99224806,7.194645845,8.793868495,0.190413907,0.203393209,31.76242737,0.41730043,0.517303432,23.96427016,18.18181801,0.008210959,0.008841885,7.683954239,31,72,132.2580645,,,,,,,133.3333333,1166.666667,146.2787551,1,1
04015,AZ,Mohave,84.61538462,7.784431138,14.32835821,0.1556462,0.72554996,655.1724138,0.145174209,1.077586207,642.2711058,,0,0.004772131,,2,7,250,,23,,,0.113171154,,-100,16.66666667,-1.315789474,1,1
04017,AZ,Navajo,29.9270073,4.645642591,4.628185127,0.326656924,0.492908626,109.2105263,1.421530577,2.971046313,109.0033349,0,0.02799944,0.027162841,-2.987915516,908,729,-19.71365639,2024,888,-56.12648221,18.92880189,8.296506685,-56.1699323,400,62.5,-8.571428571,0,1
04019,AZ,Pima,126.6666667,7.234726688,11.92982456,0.462222222,1.352698716,321.7948718,0.32640456,1.325312974,306.0338421,14.28571415,0.021053961,0.023097511,9.706254005,11,51,363.6363636,83,,,0.086831982,,,233.3333333,283.3333333,,1,1
04021,AZ,Pinal,-5.454545455,7.006369427,5.543710021,0.033007798,0.05184659,82.1969697,0.862254796,1.258012967,45.89805387,-50,0.005185969,0.002236446,-56.87505722,21,28,33.33333333,,6227,,,16.28616787,,175,1250,,1,1
04023,AZ,Santa Cruz,107.6923077,6.735751295,11.44067797,1.006554307,0.368399509,25.58139535,0.948431779,1.137704365,19.9563733,0,0.106403351,0.107501455,1.032019973,5,11,120,,,,,,,0,166.6666667,14.63414634,1,1
04025,AZ,Yavapai,32.9787234,12.43386243,13.29787234,,1.861727683,43.25323475,2.591331255,3.64760811,40.76193864,-11.11111069,0.041972522,0.034483798,-17.84196854,28,57,103.5714286,136,,,0.651425232,,,44.44444444,-18.18181818,-45.45454545,1,1
04027,AZ,Yuma,89.47368421,4.203539823,6.40569395,0.019063135,0.020101339,8.196721311,0.976744931,0.978381717,0.167575613,,0.004936102,0,,51,44,-13.7254902,89856,95364,6.129807692,479.5977732,471.2242125,-1.745954887,-50,,,1,1
05001,AR,Arkansas,-40,0.927643785,0.609756098,0.00610938,0.003018382,-18.18181818,0.566018318,0.474083439,-16.24238593,0,0.106643915,0.112555571,5.543359756,1,1,0,,,,,,,-60,-20,,,0
05003,AR,Ashley,66.66666667,2.752293578,5.319148936,0.027815122,0.174345176,605.5555556,0.809753025,5.909450468,629.7843025,100,0.046996899,0.099770531,112.2917328,26,18,-30.76923077,578,438,-24.22145329,26.00206937,20.38062445,-21.61922131,,-25,264.2857143,0,0
05005,AR,Baxter,-52.63157895,5.688622754,3.20855615,0.947380436,0.368242746,-54.81927711,4.000867658,1.826328349,-54.35169304,-25,0.097599059,0.07208246,-26.14430809,9,1,-88.88888889,18,,,0.433829023,,,-100,-42.85714286,-95.45454545,0,0
05007,AR,Benton,-27.77777778,4.184100418,3.013444599,0.103236035,0.054996145,-35.04464286,2.199701469,1.249071781,-43.21630465,33.33333206,0.025053762,0.029346168,17.13278008,12,22,83.33333333,35,75,114.2857143,0.171851677,0.321925717,87.32765477,-91.66666667,33.33333333,,1,0
05009,AR,Boone,-44.68085106,3.712480253,2.028081123,0.157753721,0.137024947,-10.05291005,5.141597976,4.554222032,-11.42399594,0,0.08040309,0.08004269,-0.448240846,12,6,-50,,7,,,0.18752679,,-66.66666667,-60,,0,0
05011,AR,Bradley,-68.42105263,8.675799087,3.243243243,0.21101993,0.100841107,-30.15873016,5.367640794,3.90070922,-27.32916807,0,0,0,0,37,18,-51.35135135,,,,,,,-100,,,0,0
05013,AR,Calhoun,-25,7.920792079,6.52173913,1.367521368,,,7.068386641,,,0,0,0,0,7,6,-14.28571429,,13,,,2.45005654,,-100,-50,,0,0
05015,AR,Carroll,-11.62790698,3.77524144,3.374777975,0.127915928,0.042018723,-61.37724551,12.50983183,4.678150499,-62.60420953,0,0.107944734,0.106296286,-1.527122617,16,13,-18.75,34,19,-44.11764706,1.273455935,0.689029918,-45.89291238,-11.11111111,20,-14.54545455,1,1
